state,total_count,population,registrations_per_1000
Johor,8976,4205900.0,2.134144891699755
Kedah,2343,2228000.0,1.0516157989228005
Kelantan,1585,1907700.0,0.8308434240184516
Melaka,1517,1052500.0,1.4413301662707838
Negeri Sembilan,1171,1244600.0,0.9408645347902941
Pahang,1856,1678200.0,1.1059468478131331
Perak,2543,2574900.0,0.9876111693658007
Perlis,414,297800.0,1.3901947615849564
Pulau Pinang,3936,1803300.0,2.182665113957744
Sabah,6979,3759600.0,1.8563145015427172
Sarawak,6709,2529800.0,2.6519882994703137
Selangor,9568,7406800.0,1.2917859264459686
Terengganu,998,1246900.0,0.8003849546876253
Kuala Lumpur,28608, 2074100.0, 13.79297045
